#Org ,PROG,  Àrea,Econ ,   CAP,Descripció ,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
SG1,9205.0,9.0,1630401.0,1.0,PERSONAL LABORAL.- ACCIO SOC.,0.0,150000.0
SG2,9205.0,9.0,1630401.0,1.0,PERSONAL LABORAL.- ACCIO SOC.,115000.0,0.0
SG1,9205.0,9.0,1630501.0,1.0,PERSONAL LABORAL.-ASSEGURANCES,4500.0,4500.0
#,,,,Total 1,,12175000.0,12597720.0
SG5,1300.0,1,2000001.0,2.0,LLOGUER TERRENYS.- POLICIA,205000.0,220000.0
SG5,1300.0,1,2020001.0,2.0,LLOGUERS D'EDIFICIS- POLICIA,25000.0,115000.0
SP1,1522.0,1,2020001.0,2.0,LLOGUERS D'EDIFICIS- HABITATGE,20000.0,20000.0
CM1,1711.0,1,2020001.0,2.0,LLOGUERS D'EDIFICIS- MICROCIUTAT,25000.0,25000.0
SP3,3300.0,3,2020001.0,2.0,LLOGUER DEPENDÈNCIES - CULTURA,0.0,11700.0
SP3,3322.0,3,2020001.0,2.0,LLOGUER DEPENDÈNCIES - ARXIU,28000.0,28000.0
SG4,9311.0,9,2020001.0,2.0,LLOGUER EDIFICI SANT ROC .- GESTIÓ PRES.,29000.0,29000.0
SG1,9203.0,9,2030001.0,2.0,LLOGUER MAQUINARIA.- CONTRACTACIO,40000.0,40000.0
CM1,1711.0,1,2040001.0,2.0,LLOGUER VEHICLES.-MICROCIUTAT,30000.0,40000.0
SG5,1300.0,1,2100001.0,2.0,CONSERVACIÓ VIES PÚBLIQUES.- POLICIA,50000.0,50000.0
CM1,1532.0,1,2100001.0,2.0,REP.MANT.VIES PUBL.- VIES PUBLIQUES,180000.0,180000.0
CM1,1710.0,1,2100001.0,2.0,REP.MANT.VIES PUBL.- PARCS I JARDINS,80000.0,100000.0
SG5,1300.0,1,2120001.0,2.0,REP.MANT.EDIFICIS.- POLICIA,1200.0,1200.0
SP1,1640.0,1,2120001.0,2.0,REP.MANT. ZONES CEMENTIRI,10500.0,10500.0
CM1,1719.0,1,2120001.0,2.0,REP.MANT.EDIFICIS.-  EDIFICIS MPALS,100000.0,100000.0
